episode,env_id,crash,success,timeout,success_time
65,0,True,False,False,0
65,1,True,False,False,0
65,2,True,False,False,0
65,3,True,False,False,0
65,4,True,False,False,0
65,5,True,False,False,0
65,6,True,False,False,0
65,7,True,False,False,0
65,8,True,False,False,0
65,9,True,False,False,0
65,10,True,False,False,0
65,11,True,False,False,0
65,12,True,False,False,0
65,13,True,False,False,0
65,14,True,False,False,0
65,15,True,False,False,0
65,16,True,False,False,0
65,17,True,False,False,0
65,18,True,False,False,0
65,19,True,False,False,0
65,20,True,False,False,0
65,21,True,False,False,0
65,22,True,False,False,0
65,23,True,False,False,0
65,24,True,False,False,0
65,25,True,False,False,0
65,26,True,False,False,0
65,27,True,False,False,0
65,28,True,False,False,0
65,29,True,False,False,0
65,30,True,False,False,0
65,31,True,False,False,0
65,32,True,False,False,0
65,33,True,False,False,0
65,34,True,False,False,0
65,35,True,False,False,0
65,36,True,False,False,0
65,37,True,False,False,0
65,38,True,False,False,0
65,39,True,False,False,0
65,40,True,False,False,0
65,41,True,False,False,0
65,42,True,False,False,0
65,43,True,False,False,0
65,44,True,False,False,0
65,45,True,False,False,0
65,46,True,False,False,0
65,47,True,False,False,0
65,48,True,False,False,0
65,49,True,False,False,0
65,50,True,False,False,0
65,51,True,False,False,0
65,52,True,False,False,0
65,53,True,False,False,0
65,54,True,False,False,0
65,55,True,False,False,0
65,56,True,False,False,0
65,57,True,False,False,0
65,58,True,False,False,0
65,59,True,False,False,0
65,60,True,False,False,0
65,61,True,False,False,0
65,62,True,False,False,0
65,63,True,False,False,0
66,30,True,False,False,0
67,55,True,False,False,0
68,61,True,False,False,0
69,17,True,False,False,0
70,25,True,False,False,0
71,54,True,False,False,0
72,24,True,False,False,0
73,6,True,False,False,0
73,48,True,False,False,0
74,44,True,False,False,0
75,30,True,False,False,0
76,37,True,False,False,0
77,39,True,False,False,0
78,27,True,False,False,0
79,36,True,False,False,0
80,18,True,False,False,0
81,35,True,False,False,0
82,0,True,False,False,0
83,32,True,False,False,0
84,8,True,False,False,0
85,20,True,False,False,0
85,40,True,False,False,0
86,26,True,False,False,0
87,54,True,False,False,0
88,13,True,False,False,0
89,25,True,False,False,0
89,61,True,False,False,0
90,37,True,False,False,0
91,30,True,False,False,0
92,46,True,False,False,0
93,40,True,False,False,0
94,15,True,False,False,0
95,2,True,False,False,96
96,62,True,False,False,0
97,0,True,False,False,0
98,9,True,False,False,0
99,8,True,False,False,0
100,2,True,False,False,0
101,20,True,False,False,0
102,9,True,False,False,0
102,57,True,False,False,84
103,43,True,False,False,126
104,3,True,False,False,0
105,54,True,False,False,79
106,62,True,False,False,0
107,43,True,False,False,0
108,12,True,False,False,112
108,15,True,False,False,0
109,10,True,False,False,115
110,61,True,False,False,90
111,1,True,False,False,78
112,56,True,False,False,145
113,56,True,False,False,0
